C00384516|02895|2018|333.0|333.0|1
C00384516|02895|2018|333.0|717.0|2
C00177436|30004|2017|384.0|768.0|2
C00384818|02895|2017|250.0|500.0|2
C00384516|02895|2017|230.0|460.0|2
C00177436|30750|2017|384.0|768.0|2
C00384516|02895|2018|333.0|1050.0|3
C00384516|02895|2018|333.0|1434.0|4
C00177436|30004|2017|384.0|1152.0|3
C00384818|02895|2017|250.0|750.0|3
C00384516|02895|2017|230.0|690.0|3
C00177436|30750|2017|384.0|1152.0|3
C00384516|02895|2018|333.0|1767.0|5
C00384516|02895|2018|333.0|2151.0|6
C00177436|30004|2017|384.0|1536.0|4
C00384818|02895|2017|250.0|1000.0|4
C00384516|02895|2017|230.0|920.0|4
C00177436|30750|2017|384.0|1536.0|4
C00384516|02895|2018|333.0|2484.0|7
